Band,Genre Updated
ABBA,Pop
Ace Of Base,Pop
Adam Sandler,Comedy
Adele,Pop
Aerosmith,Rock
Air Supply,Pop
Aiza Seguerra,Pop
Alabama,Rock
Alice Cooper,Rock
Alice In Chains,Rock
Alison Krauss,Country
Allman Brothers Band,Rock
Alphaville,Pop
America,Rock
Amy Grant,Religious
Andrea Bocelli,Pop
Andy Williams,Pop
Annie,Musicals-SoundTracks
Ariana Grande,Pop
Ariel Rivera,Pop
Arlo Guthrie,Folk
Arrogant Worms,Comedy
Avril Lavigne,Pop
Backstreet Boys,Pop
Barbra Streisand,Musicals-SoundTracks
Beach Boys,Pop
The Beatles,Pop
Beautiful South,Pop
Beauty And The Beast,Musicals-SoundTracks
Bee Gees,Pop
Bette Midler,Pop
Bill Withers,Soul
Billie Holiday,Jazz
Billy Joel,Pop
Bing Crosby,
Black Sabbath,Rock
Blur,Pop
Bob Dylan,Folk
Bob Marley,Raggae
Bob Rivers,Comedy
Bob Seger,Rock
Bon Jovi,Pop
Boney M.,Dance-DJBeats-Elect-Disco-Dance-DJBeats-Elect-House
Bonnie Raitt,Blues
Bosson,Pop
Bread,Pop
Britney Spears,Pop
Bruce Springsteen,Rock
Bruno Mars,Pop
Bryan White,
Cake,Rock
Carly Simon,Pop
Carol Banawa,Easy-Listening
Carpenters,Pop
Cat Stevens,Folk
Celine Dion,Pop
Chaka Khan,R&B
Cheap Trick,Rock
Cher,Pop
Chicago,Rock
Children,
Chris Brown,R&B
Chris Rea,Rock
Christina Aguilera,Pop
Christina Perri,Pop
Christmas Songs,
Christy Moore,Folk
Chuck Berry,Rock
Cinderella,Rock
Clash,Rock
Cliff Richard,Pop
Coldplay,Pop
Cole Porter,
Conway Twitty,
Counting Crows,Rock
Creedence Clearwater Revival,Rock
Crowded Dance-DJBeats-Elect-Disco-House,Rock
Culture Club,Pop
Cyndi Lauper,Pop
Dan Fogelberg,Rock
Dave Matthews Band,Rock
David Allan Coe,
David Bowie,Pop
David Guetta,Dance-DJBeats-Elect-Disco-Dance-DJBeats-Elect-House
David Pomeranz,Musicals-SoundTracks
Dean Martin,Easy-Listening
Death,Rock
Deep Purple,Rock
Def Leppard,Rock
Demi Lovato,Pop
Depeche Mode,Pop
Devo,
Dewa 19,Pop
Diana Ross,R&B
Dire Straits,Rock
Divine,Comedy
Dolly Parton,Pop
Don Henley,Rock
Don McLean,Folk
Don Moen,Religious
Donna Summer,Dance-DJBeats-Elect-Disco-Dance-DJBeats-Elect-House
Doobie Brothers,Rock
Doors,Rock
Doris Day,
Drake,Hip-Hop-Rap
Dream Theater,Rock
Dusty Springfield,Pop
Eagles,Rock
Ed Sheeran,Pop
Eddie Cochran,Rock
Electric Light Orchestra,Pop
Ella Fitzgerald,Jazz
Ellie Goulding,Pop
Elton John,Pop
Elvis Costello,
Elvis Presley,Pop
Eminem,Hip-Hop-Rap
Emmylou Harris,Folk
Engelbert Humperdinck,Pop
Enigma,Dance-DJBeats-Elect-Disco-Dance-DJBeats-Elect-House
Enrique Iglesias,Pop
Enya,
Eppu Normaali,Pop
Erasure,Pop
Eric Clapton,Rock
Erik Santos,Rock
Etta James,Blues
Europe,Rock
Eurythmics,Pop
Evanescence,Rock
Everclear,Rock
Everlast,Rock
Exo,Pop
Exo-K,Pop
Extreme,Rock
Fabolous,Hip-Hop-Rap
Face To Face,Rock
Faces,Rock
Faith Hill,
Faith No More,Rock
Falco,Pop
Fall Out Boy,Pop
Fastball,Rock
Fatboy Slim,Dance-DJBeats-Elect-Disco-Dance-DJBeats-Elect-House
Fifth Harmony,R&B
Fiona Apple,
Fleetwood Mac,Rock
Flo-Rida,Hip-Hop-Rap
Foo Fighters,Rock
Foreigner,Rock
Frank Sinatra,
Frank Zappa,Rock
Frankie Goes To Hollywood,Dance-DJBeats-Elect-Disco-Dance-DJBeats-Elect-House
Frankie Laine,Country
Frankie Valli,Pop
Freddie Aguilar,Folk
Freddie King,Blues
Free,Rock
Fun.,Folk
Garth Brooks,Country
Fun.,Pop
Gary Valenciano,Pop
Genesis,Rock
George Formby,Comedy
George Harrison,Rock
George Jones,Country
George Michael,Pop
